,m1,m2,m3,m4,m5,m6
1524384500.00,52009.52,6.25,10.93,19.16,-70.88,0.00
1524385500.00,52009.02,6.65,11.02,19.14,-70.99,0.00
1524386500.00,52009.65,6.49,11.01,19.24,-70.88,0.00
1524387500.00,52009.69,7.04,11.08,19.26,-71.01,0.00
1524388500.00,52010.14,7.12,11.10,19.28,-70.82,0.00
1524389500.00,52009.42,7.25,11.22,19.20,-71.16,0.00
1524390500.00,52009.98,7.11,11.24,19.28,-71.00,0.00
1524391500.00,52008.56,7.46,11.35,19.17,-71.51,0.00
1524392500.00,52008.63,6.88,11.22,19.20,-71.49,0.00
1524393500.00,52008.62,7.23,11.36,19.21,-71.32,0.00
1524394500.00,52007.68,7.06,11.38,19.19,-71.58,0.00
1524395500.00,52002.01,6.66,11.37,19.31,-71.62,0.00
1524396500.00,52007.43,6.52,11.45,19.27,-71.65,0.00
1524397500.00,52007.99,6.64,11.52,19.25,-71.40,0.00
1524398500.00,52005.94,6.53,11.60,19.20,-72.06,0.00
1524399500.00,52008.04,6.09,11.58,19.32,-71.32,0.00
1524400500.00,52007.55,5.48,11.60,19.26,-71.46,0.00
1524401500.00,52007.00,5.15,11.71,19.23,-71.64,0.00
1524402500.00,52006.69,4.39,11.83,19.25,-71.68,0.00
1524403500.00,52007.99,3.31,11.82,19.33,-71.32,0.00
1524404500.00,52007.54,2.14,11.89,19.32,-71.50,0.00
1524405500.00,52006.65,1.29,12.00,19.23,-71.81,0.00
1524406500.00,52008.57,1.68,11.99,19.40,-71.05,0.00
1524407500.00,52008.48,2.52,11.94,19.33,-71.17,0.00
1524408500.00,52007.05,2.48,11.97,19.26,-71.60,0.00
1524409500.00,52007.13,2.30,12.05,19.27,-71.49,0.00
1524410500.00,52007.83,1.53,12.06,19.34,-71.17,0.00
1524411500.00,52005.71,0.50,12.06,19.24,-71.89,0.00
1524412500.00,52006.08,-0.06,12.09,19.25,-71.68,0.00
1524413500.00,52008.01,-0.30,12.17,19.39,-71.11,0.00
1524414500.00,52007.18,-1.02,12.15,19.34,-71.27,0.00
1524415500.00,52005.84,-1.17,12.21,19.30,-71.71,0.00
1524416500.00,52006.23,-1.06,12.27,19.28,-71.76,0.00
1524417500.00,52008.27,-1.31,12.27,19.40,-71.00,0.00
1524418500.00,52007.62,-1.39,12.28,19.38,-71.37,0.00
1524419500.00,52006.44,-1.24,12.40,19.32,-71.85,0.00
1524420500.00,52007.83,-1.31,12.39,19.44,-71.33,0.00
1524421500.00,52008.70,-1.84,12.38,19.46,-71.06,0.00
1524422500.00,52008.87,-2.62,12.39,19.45,-71.11,0.00
1524423500.00,52007.96,-3.10,12.40,19.46,-71.17,0.00
1524424500.00,52007.48,-3.44,12.50,19.48,-71.28,0.00
1524425500.00,52008.23,-3.55,12.56,19.44,-71.20,0.00
1524426500.00,52010.16,-4.10,12.61,19.55,-70.39,0.00
1524427500.00,52010.76,-4.57,12.76,19.63,-70.17,0.00
1524428500.00,52009.58,-4.91,12.83,19.59,-70.53,0.00
1524429500.00,52010.84,-5.52,12.76,19.70,-69.99,0.00
1524430500.00,52009.34,-6.12,12.85,19.62,-70.44,0.00
1524431500.00,52008.54,-6.58,12.94,19.61,-70.68,0.00
1524432500.00,52009.16,-6.95,13.06,19.67,-70.53,0.00
1524433500.00,52008.14,-7.35,13.13,19.61,-70.79,0.00
1524434500.00,52007.67,-7.35,13.20,19.61,-70.94,0.00
1524435500.00,52008.11,-7.52,13.27,19.66,-70.74,0.00
1524436500.00,52008.39,-7.95,13.27,19.74,-70.56,0.00
1524437500.00,52007.01,-7.86,13.31,19.72,-70.96,0.00
1524438500.00,52009.89,-8.07,13.29,19.86,-70.01,0.00
1524439500.00,52006.60,-7.61,13.43,19.75,-71.09,0.00
1524440500.00,52006.70,-7.83,13.42,19.74,-71.08,0.00
1524441500.00,52007.12,-7.58,13.46,19.80,-70.76,0.00
1524442500.00,52007.84,-7.20,13.51,19.84,-70.63,0.00
1524443500.00,52007.77,-7.15,13.52,19.94,-70.63,0.00
1524444500.00,52008.30,-6.65,13.50,19.98,-70.41,0.00
1524445500.00,52007.67,-6.14,13.53,20.01,-70.51,0.00
1524446500.00,52001.99,-5.41,13.54,19.99,-71.44,0.00
1524447500.00,51998.28,-4.54,13.52,19.88,-72.16,0.00
1524448500.00,51998.75,-3.84,13.57,19.94,-71.92,0.00
1524449500.00,52000.53,-3.53,13.52,20.07,-71.23,0.00
1524450500.00,51999.22,-2.89,13.58,20.04,-71.60,0.00
1524451500.00,51998.54,-2.52,13.54,20.10,-71.83,0.00
1524452500.00,51998.94,-2.26,13.54,20.11,-71.61,0.00
1524453500.00,51998.68,-1.44,13.61,20.08,-71.61,0.00
1524454500.00,51998.47,-1.06,13.67,20.11,-71.64,0.00
1524455500.00,51997.92,-0.65,13.69,20.12,-71.76,0.00
1524456500.00,51996.43,-0.01,13.77,20.07,-72.21,0.00
1524457500.00,51997.16,0.43,13.74,20.18,-71.96,0.00
1524458500.00,51997.81,1.07,13.78,20.24,-71.67,0.00
1524459500.00,51995.99,1.34,13.74,20.15,-72.22,0.00
1524460500.00,51998.09,1.88,13.74,20.32,-71.45,0.00
1524461500.00,51996.09,2.49,13.80,20.24,-72.11,0.00
1524462500.00,51996.32,2.89,13.84,20.32,-71.94,0.00
1524463500.00,51996.93,3.20,13.85,20.31,-71.72,0.00
1524464500.00,51996.61,3.49,13.86,20.42,-71.64,0.00
1524465500.00,51995.20,3.76,13.95,20.31,-72.18,0.00
1524466500.00,51996.09,4.04,14.01,20.34,-71.82,0.00
1524467500.00,51994.38,4.23,14.03,20.29,-72.39,0.00
