,m1,m2,m3,m4,m5,m6
1525586500.00,51995.57,46.17,42.57,25.47,-81.77,0.00
1525587500.00,51994.33,46.88,42.55,25.38,-82.08,0.00
1525588500.00,51995.88,47.61,42.57,25.40,-81.54,0.00
1525589500.00,51994.64,47.92,42.50,25.34,-81.88,0.00
1525590500.00,51994.26,48.26,42.55,25.29,-81.92,0.00
1525591500.00,51995.78,48.47,42.57,25.42,-81.18,0.00
1525592500.00,51992.27,48.17,42.53,25.28,-82.14,0.00
1525593500.00,51992.51,48.31,42.48,25.28,-81.90,0.00
1525594500.00,51991.94,48.49,42.49,25.17,-81.82,0.00
1525595500.00,51992.64,48.60,42.45,25.27,-81.38,0.00
1525596500.00,51991.31,48.91,42.51,25.21,-81.67,0.00
1525597500.00,51989.52,49.04,42.60,25.20,-82.14,0.00
1525598500.00,51989.23,49.04,42.50,25.16,-82.11,0.00
1525599500.00,51988.13,49.35,42.56,25.13,-82.28,0.00
1525600500.00,51988.50,49.24,42.45,25.14,-81.94,0.00
1525601500.00,51988.51,49.65,42.52,25.16,-81.74,0.00
1525602500.00,51987.11,50.01,42.55,25.08,-82.15,0.00
1525603500.00,51987.14,50.48,42.53,25.04,-81.93,0.00
1525604500.00,51986.50,50.49,42.49,25.06,-81.90,0.00
1525605500.00,51985.81,50.46,42.41,25.06,-82.03,0.00
1525606500.00,51985.53,50.71,42.52,24.99,-81.95,0.00
1525607500.00,51985.47,50.97,42.50,25.00,-81.84,0.00
1525608500.00,51985.98,51.39,42.41,24.99,-81.52,0.00
1525609500.00,51985.72,51.71,42.45,24.99,-81.38,0.00
1525610500.00,51985.22,52.39,42.57,24.87,-81.51,0.00
1525611500.00,51984.60,52.32,42.48,24.91,-81.51,0.00
1525612500.00,51983.83,52.29,42.35,24.84,-81.64,0.00
1525613500.00,51982.92,52.15,42.36,24.85,-81.85,0.00
1525614500.00,51984.91,51.71,42.35,24.94,-81.19,0.00
1525615500.00,51984.63,51.32,42.43,24.88,-81.27,0.00
1525616500.00,51984.38,50.83,42.46,24.77,-81.34,0.00
1525617500.00,51984.87,49.88,42.45,24.75,-81.08,0.00
1525618500.00,51983.67,48.75,42.54,24.68,-81.56,0.00
1525619500.00,51985.13,47.44,42.49,24.72,-81.04,0.00
1525620500.00,51986.22,45.74,42.42,24.68,-80.65,0.00
1525621500.00,51984.84,44.28,42.50,24.59,-81.20,0.00
1525622500.00,51987.43,42.03,42.51,24.72,-80.32,0.00
1525623500.00,51986.32,39.75,42.54,24.61,-80.96,0.00
1525624500.00,51985.13,37.86,42.65,24.54,-81.57,0.00
1525625500.00,51986.50,36.24,42.73,24.48,-81.29,0.00
1525626500.00,51988.91,34.24,42.71,24.63,-80.70,0.00
1525627500.00,51988.42,32.60,42.81,24.56,-81.09,0.00
1525628500.00,51988.68,30.95,42.82,24.49,-81.25,0.00
1525629500.00,51989.75,29.34,42.81,24.49,-80.92,0.00
1525630500.00,51989.69,27.84,42.89,24.48,-81.14,0.00
1525631500.00,51990.17,26.71,42.94,24.49,-81.17,0.00
1525632500.00,51991.13,25.41,42.97,24.46,-80.97,0.00
1525633500.00,51991.00,24.32,43.09,24.52,-81.07,0.00
1525634500.00,51991.40,23.31,43.15,24.54,-80.93,0.00
1525635500.00,51993.08,22.12,43.14,24.62,-80.44,0.00
1525636500.00,51992.58,21.49,43.26,24.52,-80.79,0.00
1525637500.00,51991.75,20.54,43.31,24.46,-81.11,0.00
1525638500.00,51992.95,20.25,43.33,24.54,-80.73,0.00
1525639500.00,51993.20,19.65,43.42,24.60,-80.68,0.00
1525640500.00,51993.02,19.19,43.40,24.50,-80.78,0.00
1525641500.00,51992.46,18.66,43.45,24.54,-81.03,0.00
1525642500.00,51992.29,18.29,43.47,24.49,-81.15,0.00
1525643500.00,51992.36,18.02,43.57,24.57,-81.11,0.00
1525644500.00,51991.16,17.76,43.56,24.44,-81.59,0.00
1525645500.00,51992.08,17.61,43.60,24.53,-81.32,0.00
1525646500.00,51991.91,17.39,43.62,24.58,-81.51,0.00
1525647500.00,51993.13,17.66,43.63,24.66,-80.90,0.00
1525648500.00,51991.39,17.60,43.62,24.61,-81.46,0.00
1525649500.00,51991.60,17.96,43.67,24.59,-81.31,0.00
1525650500.00,51992.18,18.14,43.67,24.71,-81.11,0.00
1525651500.00,51991.56,18.77,43.70,24.77,-81.29,0.00
1525652500.00,51991.61,19.48,43.65,24.76,-81.21,0.00
1525653500.00,51991.50,20.41,43.55,24.69,-81.45,0.00
1525654500.00,51991.09,21.59,43.48,24.72,-81.36,0.00
1525655500.00,51988.94,22.34,43.35,24.63,-81.98,0.00
1525656500.00,51990.33,23.29,43.26,24.83,-81.32,0.00
1525657500.00,51989.31,24.67,43.24,24.81,-81.57,0.00
1525658500.00,51989.29,26.06,43.17,24.84,-81.45,0.00
1525659500.00,51988.55,27.60,43.07,24.84,-81.60,0.00
1525660500.00,51989.10,28.59,42.91,24.89,-81.29,0.00
1525661500.00,51985.66,30.38,42.99,24.83,-82.41,0.00
1525662500.00,51986.21,31.38,42.92,24.90,-82.00,0.00
1525663500.00,51985.97,32.98,42.86,24.94,-82.03,0.00
1525664500.00,51984.55,34.47,42.85,24.93,-82.24,0.00
1525665500.00,51984.77,35.67,42.81,25.06,-81.95,0.00
1525666500.00,51982.59,36.88,42.81,24.98,-82.47,0.00
1525667500.00,51981.01,38.38,42.76,24.85,-82.79,0.00
1525668500.00,51982.13,39.74,42.78,25.00,-82.14,0.00
1525669500.00,51981.80,40.76,42.68,25.06,-81.94,0.00
1525670500.00,51979.14,41.71,42.65,24.93,-82.61,0.00
1525671500.00,51977.02,42.93,42.67,24.89,-83.13,0.00
1525672500.00,51977.55,44.01,42.66,24.96,-82.72,0.00
1525673500.00,51976.54,44.67,42.55,24.93,-82.86,0.00
1525674500.00,51976.20,45.79,42.62,24.91,-82.83,0.00
1525675500.00,51977.65,46.44,42.66,25.01,-82.15,0.00
1525676500.00,51977.38,47.13,42.70,25.02,-82.15,0.00
1525677500.00,51976.78,47.42,42.61,24.97,-82.21,0.00
1525678500.00,51976.56,48.23,42.67,25.04,-82.11,0.00
1525679500.00,51974.28,48.86,42.60,24.89,-82.78,0.00
1525680500.00,51974.28,49.35,42.60,24.97,-82.54,0.00
1525681500.00,51973.82,49.95,42.65,25.06,-82.52,0.00
1525682500.00,51973.42,50.28,42.58,25.05,-82.49,0.00
1525683500.00,51972.13,51.12,42.58,24.94,-82.80,0.00
1525684500.00,51972.00,51.62,42.64,24.99,-82.76,0.00
1525685500.00,51972.44,51.97,42.58,25.04,-82.48,0.00
1525686500.00,51972.06,52.93,42.72,24.99,-82.50,0.00
1525687500.00,51970.87,53.02,42.61,24.95,-82.72,0.00
1525688500.00,51971.92,53.43,42.55,25.02,-82.21,0.00
1525689500.00,51971.21,54.08,42.57,24.95,-82.31,0.00
1525690500.00,51970.19,54.49,42.58,24.92,-82.50,0.00
1525691500.00,51971.29,54.31,42.54,25.03,-82.00,0.00
1525692500.00,51967.96,54.69,42.62,24.86,-83.06,0.00
1525693500.00,51968.40,54.89,42.56,24.83,-82.71,0.00
1525694500.00,51968.06,54.42,42.65,24.84,-82.75,0.00
1525695500.00,51968.66,53.65,42.53,24.85,-82.47,0.00
1525696500.00,51967.04,52.80,42.54,24.68,-83.02,0.00
1525697500.00,51967.97,51.65,42.54,24.77,-82.67,0.00
1525698500.00,51968.17,50.58,42.52,24.77,-82.45,0.00
1525699500.00,51968.29,48.82,42.54,24.75,-82.40,0.00
1525700500.00,51967.11,47.29,42.67,24.61,-82.81,0.00
1525701500.00,51969.06,45.51,42.68,24.67,-82.23,0.00
1525702500.00,51969.21,43.69,42.62,24.62,-82.14,0.00
1525703500.00,51968.70,42.03,42.63,24.64,-82.38,0.00
1525704500.00,51968.53,40.13,42.59,24.51,-82.56,0.00
1525705500.00,51970.75,38.15,42.53,24.51,-82.29,0.00
1525706500.00,51968.97,36.39,42.49,24.52,-82.75,0.00
1525707500.00,51969.49,34.63,42.50,24.56,-82.60,0.00
1525708500.00,51969.73,32.86,42.54,24.53,-82.63,0.00
1525709500.00,51971.94,31.63,42.56,24.57,-82.16,0.00
1525710500.00,51974.57,30.26,42.59,24.64,-81.59,0.00
1525711500.00,51974.74,28.57,42.61,24.56,-81.84,0.00
1525712500.00,51974.79,27.45,42.65,24.52,-82.10,0.00
1525713500.00,51977.10,26.43,42.69,24.54,-81.66,0.00
1525714500.00,51977.82,25.22,42.62,24.57,-81.61,0.00
1525715500.00,51978.80,24.67,42.71,24.50,-81.55,0.00
1525716500.00,51980.40,23.46,42.65,24.64,-81.15,0.00
1525717500.00,51980.77,22.56,42.75,24.61,-81.19,0.00
1525718500.00,51978.99,21.46,42.79,24.45,-81.99,0.00
1525719500.00,51984.37,20.80,42.90,24.55,-81.69,0.00
1525720500.00,51982.60,19.62,42.90,24.57,-81.18,0.00
1525721500.00,51983.17,18.61,42.93,24.60,-81.09,0.00
1525722500.00,51983.01,17.95,43.02,24.58,-81.27,0.00
1525723500.00,51983.79,17.53,43.11,24.59,-81.02,0.00
1525724500.00,51983.64,16.55,43.09,24.56,-81.16,0.00
1525725500.00,51984.06,16.02,43.19,24.55,-81.13,0.00
1525726500.00,51983.29,15.11,43.29,24.56,-81.50,0.00
1525727500.00,51984.74,14.56,43.38,24.67,-81.06,0.00
1525728500.00,51984.08,13.67,43.40,24.67,-81.35,0.00
1525729500.00,51984.48,13.11,43.45,24.67,-81.25,0.00
1525730500.00,51984.58,12.69,43.51,24.65,-81.26,0.00
1525731500.00,51985.70,12.04,43.53,24.68,-80.80,0.00
1525732500.00,51985.50,12.00,43.63,24.67,-81.02,0.00
1525733500.00,51984.75,11.44,43.69,24.71,-81.32,0.00
1525734500.00,51985.36,11.12,43.65,24.70,-81.21,0.00
1525735500.00,51985.69,10.94,43.74,24.76,-81.19,0.00
1525736500.00,51987.06,11.05,43.74,24.80,-80.81,0.00
1525737500.00,51988.55,11.13,43.77,24.93,-80.28,0.00
1525738500.00,51987.66,11.24,43.68,24.80,-80.57,0.00
1525739500.00,51986.30,11.34,43.66,24.80,-81.18,0.00
1525740500.00,51987.86,11.73,43.70,24.93,-80.59,0.00
1525741500.00,51987.08,12.18,43.69,24.98,-80.89,0.00
1525742500.00,51985.91,13.07,43.67,24.92,-81.24,0.00
1525743500.00,51986.83,13.96,43.65,25.00,-80.96,0.00
1525744500.00,51986.09,14.89,43.49,25.12,-81.16,0.00
