,m1,m2,m3,m4,m5,m6
1529979500.00,52132.04,17.73,53.38,36.54,-93.89,0.00
1529980500.00,52131.19,18.57,53.40,36.52,-94.04,0.00
1529981500.00,52131.43,19.19,53.33,36.57,-93.86,0.00
1529982500.00,52129.32,19.79,53.35,36.52,-94.49,0.00
1529983500.00,52130.66,20.24,53.28,36.62,-93.88,0.00
1529984500.00,52130.65,20.77,53.23,36.57,-93.83,0.00
1529985500.00,52131.02,21.53,53.25,36.63,-93.69,0.00
1529986500.00,52131.07,22.09,53.20,36.66,-93.55,0.00
1529987500.00,52130.37,22.63,53.22,36.67,-93.72,0.00
1529988500.00,52129.00,22.85,53.20,36.59,-94.14,0.00
1529989500.00,52129.41,23.13,53.23,36.62,-94.09,0.00
1529990500.00,52130.59,23.61,53.21,36.66,-93.77,0.00
1529991500.00,52131.05,23.97,53.22,36.71,-93.64,0.00
1529992500.00,52128.92,24.48,53.22,36.61,-94.36,0.00
1529993500.00,52130.96,24.83,53.21,36.70,-93.60,0.00
1529994500.00,52131.36,25.61,53.29,36.63,-93.47,0.00
1529995500.00,52131.70,25.71,53.26,36.70,-93.38,0.00
1529996500.00,52131.44,26.21,53.24,36.65,-93.45,0.00
1529997500.00,52131.88,26.56,53.20,36.69,-93.35,0.00
1529998500.00,52132.17,27.23,53.30,36.74,-93.25,0.00
1529999500.00,52131.60,27.37,53.23,36.67,-93.53,0.00
1530000500.00,52132.92,27.65,53.21,36.72,-93.03,0.00
1530001500.00,52132.83,28.08,53.23,36.74,-93.11,0.00
1530002500.00,52132.30,28.24,53.16,36.68,-93.13,0.00
1530003500.00,52132.06,28.69,53.18,36.71,-93.21,0.00
1530004500.00,52133.33,29.27,53.23,36.75,-92.79,0.00
1530005500.00,52131.74,29.33,53.14,36.72,-93.37,0.00
1530006500.00,52132.48,29.74,53.18,36.72,-93.09,0.00
1530007500.00,52132.61,29.84,53.17,36.71,-92.99,0.00
1530008500.00,52132.62,30.13,53.19,36.74,-93.01,0.00
1530009500.00,52132.95,30.40,53.18,36.75,-92.83,0.00
1530010500.00,52132.68,30.74,53.20,36.68,-92.89,0.00
1530011500.00,52132.81,30.60,53.18,36.68,-92.88,0.00
1530012500.00,52133.72,31.28,53.18,36.70,-92.53,0.00
1530013500.00,52132.66,31.62,53.22,36.62,-92.94,0.00
1530014500.00,52132.83,31.65,53.20,36.63,-92.81,0.00
1530015500.00,52133.62,31.88,53.21,36.69,-92.60,0.00
1530016500.00,52132.71,32.13,53.19,36.63,-92.94,0.00
1530017500.00,52133.59,32.37,53.15,36.64,-92.56,0.00
1530018500.00,52133.18,32.50,53.18,36.61,-92.59,0.00
1530019500.00,52132.90,32.76,53.24,36.58,-92.62,0.00
1530020500.00,52132.80,32.92,53.20,36.62,-92.54,0.00
1530021500.00,52132.90,33.01,53.17,36.65,-92.41,0.00
1530022500.00,52131.69,33.05,53.21,36.55,-92.82,0.00
1530023500.00,52132.40,32.96,53.23,36.55,-92.60,0.00
1530024500.00,52132.94,32.75,53.21,36.56,-92.41,0.00
1530025500.00,52132.40,32.58,53.24,36.57,-92.60,0.00
1530026500.00,52132.04,32.40,53.27,36.50,-92.74,0.00
1530027500.00,52133.32,32.47,53.30,36.54,-92.29,0.00
1530028500.00,52134.36,31.91,53.32,36.57,-92.03,0.00
1530029500.00,52133.73,31.61,53.39,36.53,-92.25,0.00
1530030500.00,52132.14,30.72,53.48,36.43,-92.85,0.00
1530031500.00,52125.54,30.33,53.64,36.65,-91.23,0.00
1530032500.00,52124.08,29.87,53.71,36.67,-90.77,0.00
1530033500.00,52124.28,29.69,53.68,36.58,-90.95,0.00
