,m1,m2,m3,m4,m5,m6
1525051500.00,52059.10,-19.64,27.23,19.25,-78.01,0.00
1525052500.00,52059.19,-18.47,27.16,19.24,-77.94,0.00
1525053500.00,52059.63,-17.31,27.19,19.24,-77.70,0.00
1525054500.00,52058.79,-15.61,27.19,19.30,-78.02,0.00
1525055500.00,52057.37,-14.53,27.20,19.33,-78.45,0.00
1525056500.00,52057.66,-13.94,27.20,19.30,-78.24,0.00
1525057500.00,52056.66,-13.58,27.25,19.40,-78.37,0.00
1525058500.00,52055.12,-12.89,27.27,19.43,-78.83,0.00
1525059500.00,52055.49,-12.35,27.26,19.42,-78.60,0.00
1525060500.00,52054.86,-11.46,27.32,19.46,-78.76,0.00
1525061500.00,52053.60,-10.82,27.24,19.42,-78.99,0.00
1525062500.00,52053.59,-9.87,27.32,19.48,-78.86,0.00
1525063500.00,52053.00,-9.34,27.38,19.50,-79.02,0.00
1525064500.00,52052.19,-8.54,27.30,19.45,-79.18,0.00
1525065500.00,52052.45,-7.90,27.42,19.52,-78.99,0.00
1525066500.00,52052.78,-7.14,27.41,19.61,-78.71,0.00
1525067500.00,52049.98,-6.56,27.44,19.45,-79.56,0.00
1525068500.00,52048.83,-5.97,27.45,19.47,-79.81,0.00
1525069500.00,52050.66,-5.22,27.51,19.58,-79.22,0.00
1525070500.00,52048.74,-4.76,27.49,19.54,-79.82,0.00
1525071500.00,52049.05,-3.70,27.47,19.52,-79.52,0.00
1525072500.00,52048.48,-2.83,27.58,19.51,-79.60,0.00
1525073500.00,52047.48,-2.39,27.54,19.50,-79.72,0.00
1525074500.00,52047.55,-1.83,27.49,19.56,-79.57,0.00
1525075500.00,52046.24,-1.11,27.46,19.52,-79.83,0.00
1525076500.00,52045.97,-0.37,27.50,19.53,-79.80,0.00
1525077500.00,52047.22,0.30,27.52,19.59,-79.26,0.00
1525078500.00,52045.62,0.93,27.53,19.49,-79.70,0.00
1525079500.00,52044.95,1.28,27.57,19.50,-79.80,0.00
1525080500.00,52044.72,1.79,27.60,19.50,-79.80,0.00
1525081500.00,52045.50,2.05,27.57,19.55,-79.40,0.00
1525082500.00,52044.13,2.09,27.67,19.55,-79.79,0.00
1525083500.00,52042.60,2.17,27.68,19.39,-80.21,0.00
1525084500.00,52042.33,2.21,27.68,19.43,-80.14,0.00
1525085500.00,52042.90,2.32,27.64,19.51,-79.88,0.00
1525086500.00,52042.47,2.97,27.67,19.47,-79.93,0.00
1525087500.00,52040.30,2.92,27.76,19.49,-80.61,0.00
1525088500.00,52041.52,2.76,27.76,19.49,-80.13,0.00
1525089500.00,52040.43,1.67,27.81,19.50,-80.46,0.00
1525090500.00,52039.96,0.97,27.92,19.49,-80.61,0.00
1525091500.00,52040.60,0.68,27.83,19.42,-80.35,0.00
1525092500.00,52040.89,1.30,27.89,19.32,-80.28,0.00
1525093500.00,52041.04,0.85,27.96,19.37,-80.31,0.00
1525094500.00,52041.75,0.35,28.10,19.33,-80.21,0.00
1525095500.00,52043.53,-0.94,27.92,19.32,-80.07,0.00
1525096500.00,52045.88,-1.66,27.68,19.30,-80.03,0.00
1525097500.00,52046.32,-2.69,27.48,19.33,-80.24,0.00
1525098500.00,52043.06,-3.72,27.36,19.20,-81.08,0.00
1525099500.00,52041.48,-4.51,27.21,19.14,-81.53,0.00
1525100500.00,52039.95,-4.72,26.99,19.16,-81.66,0.00
1525101500.00,52037.42,-4.31,26.89,19.05,-82.09,0.00
1525102500.00,52037.40,-4.54,26.75,19.09,-81.75,0.00
1525103500.00,52036.66,-4.91,26.72,19.13,-81.73,0.00
1525104500.00,52037.88,-4.89,26.77,19.12,-81.28,0.00
1525105500.00,52036.57,-5.43,26.81,19.01,-81.81,0.00
1525106500.00,52038.81,-6.17,26.98,19.11,-81.40,0.00
1525107500.00,52040.58,-6.88,26.98,19.12,-81.05,0.00
1525108500.00,52041.89,-7.92,27.04,19.13,-80.95,0.00
1525109500.00,52042.35,-8.88,27.29,19.17,-81.02,0.00
1525110500.00,52044.59,-10.08,27.31,19.32,-80.37,0.00
1525111500.00,52044.86,-11.03,27.35,19.24,-80.29,0.00
1525112500.00,52044.85,-11.98,27.46,19.23,-80.44,0.00
1525113500.00,52045.42,-13.43,27.55,19.18,-80.53,0.00
1525114500.00,52045.59,-15.12,27.97,19.30,-80.00,0.00
1525115500.00,52045.44,-17.56,28.30,19.37,-79.83,0.00
1525116500.00,52046.45,-19.74,28.54,19.35,-79.24,0.00
